                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5859,                 6.5635,                 4.3569,                  3e-05,                0.00846,                  2e-05,                      0,                 4.9817,                 6.5021,                 4.1998,             0.00065455,             0.00065455,             0.00065455
                      2,                 3.8154,                 4.7389,                 3.6255,                  2e-05,                0.00634,                  1e-05,                      0,                 4.5647,                 5.5161,                 3.8917,              0.0012951,              0.0012951,              0.0012951
                      3,                 3.1978,                 3.7626,                 3.1576,                0.16689,                0.15433,                0.07984,                0.02064,                 3.1735,                 3.8161,                 3.3223,              0.0019092,              0.0019092,              0.0019092
                      4,                 2.9618,                 3.2558,                 2.9981,                0.14652,                0.09302,                0.06171,                0.01789,                 2.7168,                 3.4341,                   3.04,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7678,                 2.7067,                 2.8132,                0.28113,                0.14376,                 0.1316,                0.04672,                   2.59,                 3.3299,                 3.0669,              0.0018416,              0.0018416,              0.0018416
                      6,                  2.674,                  2.592,                 2.7236,                0.35708,                0.37632,                0.29133,                0.10896,                 2.3504,                 2.6878,                 2.6863,               0.001802,               0.001802,               0.001802
                      7,                 2.4887,                 2.3935,                  2.563,                0.45463,                0.39535,                0.36885,                0.13654,                 2.3586,                 2.3202,                 2.5709,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.4113,                 2.1371,                 2.4975,                0.39045,                0.45032,                0.36964,                0.13659,                 2.2309,                 2.3855,                 2.4642,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.3603,                 2.1068,                 2.4098,                0.46079,                0.50951,                0.41587,                0.13317,                 2.2575,                 2.1365,                 2.6053,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.2621,                 1.8786,                 2.3117,                0.56299,                0.53277,                 0.5142,                0.17697,                 2.2771,                  1.841,                 2.4315,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.2507,                 1.8739,                 2.2651,                0.70527,                0.51374,                0.58354,                0.23577,                 2.0476,                 1.7807,                 2.2721,               0.001604,               0.001604,               0.001604
                     12,                 2.1068,                 1.7469,                 2.1839,                0.57825,                0.54496,                 0.5696,                 0.2562,                 1.9118,                 1.8479,                 2.1435,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0844,                 1.7482,                 2.1727,                 0.6488,                 0.5507,                0.60645,                0.26147,                 1.8569,                 1.8247,                 2.1393,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0563,                 1.6496,                 2.0845,                 0.6611,                0.55675,                0.61161,                0.29272,                  1.836,                  1.707,                 2.1012,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.0076,                 1.6646,                 2.0574,                0.65514,                0.60245,                0.63735,                 0.3146,                 1.7494,                 1.8172,                 2.0322,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9737,                  1.604,                 2.0069,                0.76526,                0.58584,                0.70058,                0.35359,                 1.7245,                 1.4768,                 2.0231,               0.001406,               0.001406,               0.001406
